,F1p,F2p,F3+p
0,0.7424242424242424,0.7666666666666667,0.8928571428571429
1,0.7424242424242424,0.7833333333333333,0.7857142857142857
2,0.7348484848484849,0.7333333333333333,0.9285714285714286
3,0.75,0.8,0.7857142857142857
4,0.7651515151515151,0.6666666666666666,0.6785714285714286
5,0.7954545454545454,0.7666666666666667,0.6428571428571429
6,0.7651515151515151,0.75,0.7142857142857143
7,0.7196969696969697,0.8,0.8571428571428571
8,0.6742424242424242,0.7333333333333333,0.6428571428571429
9,0.8106060606060606,0.7333333333333333,0.8214285714285714
10,0.7878787878787878,0.85,0.8214285714285714
11,0.6818181818181818,0.7666666666666667,0.7142857142857143
12,0.7727272727272727,0.7333333333333333,0.8928571428571429
13,0.7803030303030303,0.7333333333333333,0.6071428571428571
14,0.7727272727272727,0.75,0.7142857142857143
15,0.7575757575757576,0.8,0.75
16,0.8409090909090909,0.75,0.6428571428571429
17,0.7196969696969697,0.8666666666666667,0.75
18,0.7651515151515151,0.7166666666666667,0.7857142857142857
19,0.7575757575757576,0.8,0.9285714285714286
20,0.7803030303030303,0.7333333333333333,0.75
21,0.7727272727272727,0.75,0.7857142857142857
22,0.75,0.8,0.8571428571428571
23,0.7348484848484849,0.75,0.7857142857142857
24,0.7651515151515151,0.7833333333333333,0.6785714285714286
25,0.7045454545454546,0.7666666666666667,0.8928571428571429
26,0.7727272727272727,0.8166666666666667,0.75
27,0.803030303030303,0.7333333333333333,0.6785714285714286
28,0.7575757575757576,0.7666666666666667,0.8571428571428571
29,0.8106060606060606,0.7833333333333333,0.8928571428571429
30,0.7651515151515151,0.65,0.75
31,0.6818181818181818,0.75,0.7857142857142857
32,0.7196969696969697,0.75,0.8214285714285714
33,0.7348484848484849,0.8166666666666667,0.75
34,0.7878787878787878,0.8333333333333334,0.8214285714285714
35,0.7727272727272727,0.6166666666666667,0.7142857142857143
36,0.7878787878787878,0.8166666666666667,0.8571428571428571
37,0.6893939393939394,0.6666666666666666,0.8571428571428571
38,0.7196969696969697,0.7166666666666667,0.5
39,0.696969696969697,0.65,0.75
40,0.7045454545454546,0.7333333333333333,0.6785714285714286
