,S1p,S2p,S3+p
0,0.6515151515151515,0.8,0.8214285714285714
1,0.7272727272727273,0.8166666666666667,0.9285714285714286
2,0.7272727272727273,0.75,0.75
3,0.7651515151515151,0.8333333333333334,0.7857142857142857
4,0.7045454545454546,0.8333333333333334,0.8214285714285714
5,0.6893939393939394,0.8333333333333334,0.8928571428571429
6,0.6590909090909091,0.8,0.9285714285714286
7,0.6439393939393939,0.8666666666666667,0.9285714285714286
8,0.7272727272727273,0.7666666666666667,0.75
9,0.5984848484848485,0.8333333333333334,0.7857142857142857
10,0.7196969696969697,0.7833333333333333,0.9642857142857143
11,0.696969696969697,0.8333333333333334,0.8214285714285714
12,0.696969696969697,0.8833333333333333,0.8571428571428571
13,0.7878787878787878,0.9333333333333333,0.8214285714285714
14,0.7348484848484849,0.8666666666666667,0.8214285714285714
15,0.7348484848484849,0.8166666666666667,0.8214285714285714
16,0.7272727272727273,0.8333333333333334,0.8928571428571429
17,0.7121212121212122,0.8166666666666667,0.8928571428571429
18,0.6060606060606061,0.7666666666666667,0.75
19,0.7651515151515151,0.6833333333333333,0.8214285714285714
20,0.6818181818181818,0.7833333333333333,1.0
21,0.6515151515151515,0.75,0.9642857142857143
22,0.6893939393939394,0.8833333333333333,0.8214285714285714
23,0.7272727272727273,0.7833333333333333,0.9642857142857143
24,0.6893939393939394,0.8833333333333333,0.8928571428571429
25,0.6590909090909091,0.9166666666666666,0.8928571428571429
26,0.7348484848484849,0.9333333333333333,0.7857142857142857
27,0.6893939393939394,0.8833333333333333,0.8928571428571429
28,0.7348484848484849,0.8833333333333333,0.8928571428571429
29,0.6515151515151515,0.7833333333333333,0.8571428571428571
30,0.696969696969697,0.8166666666666667,0.9285714285714286
31,0.6893939393939394,0.9166666666666666,0.8214285714285714
32,0.6893939393939394,0.85,0.9285714285714286
33,0.7196969696969697,0.9,0.8571428571428571
34,0.7121212121212122,0.8666666666666667,0.8928571428571429
35,0.7272727272727273,0.8,0.8571428571428571
36,0.6590909090909091,0.85,0.8928571428571429
37,0.7575757575757576,0.8,0.7142857142857143
38,0.6666666666666666,0.9,0.8928571428571429
39,0.6742424242424242,0.8,0.7857142857142857
40,0.6818181818181818,0.8,0.7857142857142857
41,0.6742424242424242,0.9,0.8928571428571429
42,0.75,0.8833333333333333,0.8928571428571429
43,0.7045454545454546,0.9166666666666666,0.8928571428571429
44,0.6893939393939394,0.8666666666666667,0.8928571428571429
45,0.7196969696969697,0.85,0.9285714285714286
46,0.696969696969697,0.8166666666666667,0.9642857142857143
47,0.7272727272727273,0.85,0.75
48,0.6515151515151515,0.85,0.8214285714285714
